State,Grade,Total (Billions),Population,PC,Infrastructure
Florida,C,8.2,21830708,375.617685,20
North Carolina,C-,4.5,10567100,425.850044,31
Maryland,C,2.7,6175045,437.2437772,33
South Carolina,D+,2.3,5193848,442.8315961,37
Georgia,C+,5,10790385,463.3754959,14
California,C-,18.4,39145060,470.0465397,32
Minnesota,C,2.7,5717968,472.1957171,9
Wisconsin,C,2.8,5879978,476.1922579,35
Texas,C,14.2,29561286,480.3579925,19
Arizona,C,3.5,7272487,481.2658998,18
Indiana,C-,3.4,6813798,498.9874957,23
New York,C,10.1,19854526,508.7001322,29
Kansas,C,1.5,2937946,510.5607795,5
Massachusetts,C-,3.6,6991951,514.8777501,39
Washington,C,4,7741433,516.7002027,7
Michigan,C-,5.2,10038117,518.0254424,41
Virginia,C,4.5,8657348,519.7896631,38
Tennessee,C,3.7,6963709,531.3260505,21
Utah,C+,1.8,3339284,539.0377099,3
Nevada,C,1.7,3146632,540.2601893,6
Oregon,C-,2.3,4256465,540.354496,2
New Hampshire,C-,0.7518,1387494,541.8401809,22
New Jersey,C-,5.1,9269175,550.2107793,16
Colorado,C-,3.2,5811596,550.6232711,12
Ohio,C-,6.6,11765227,560.9751516,30
Alabama,C-,3,5050380,594.0147078,36
Missouri,C-,3.8,6170393,615.8440799,34
Pennsylvania,C-,8.1,13013614,622.4251004,43
Idaho,C-,1.2,1904537,630.074396,15
Nebraska,C-,1.3,1964253,661.8292043,4
Illinois,C-,8.4,12690341,661.9207474,25
Hawaii,D+,1,1446745,691.2068125,47
Connecticut,C,2.5,3603691,693.7331752,28
Oklahoma,C-,2.9,3991634,726.5195156,17
Iowa,C,2.4,3197944,750.4821848,10
Mississippi,D+,2.3,2949582,779.7715066,48
Deleware,C-,0.792,1004881,788.1530251,26
Maine,C-,1.1,1378787,797.8027063,40
Kentucky,C-,3.9,4507600,865.2054308,24
Arkansas,C-,2.8,3028443,924.5675088,42
Louisiana,D+,4.3,4627047,929.3184184,49
Rhode Island,C-,1.1,1097092,1002.650644,45
West Virginia,D,2,1785249,1120.291903,50
New Mexico,C-,2.6,2116950,1228.182054,44
Vermont,C,0.8521,647093,1316.812267,11
South Dakota,C-,1.3,896299,1450.408848,8
District Of Columbia,C,1.1,669037,1644.15421,
North Dakota,C,1.8,777982,2313.678208,1
Montana,C,3.3,1106366,2982.738081,27
Wyoming,C,2.3,579548,3968.61002,13
Alaska,C-,3.7,734923,5034.541034,46
