state,population
california,38965193
texas,30503301
florida,22610726
new york,19571216
pennsylvania,12961683
illinois,12549689
ohio,11785935
georgia,11029227
north carolina,10835491
michigan,10037261
new jersey,9290841
virginia,8715698
washington,7812880
arizona,7431344
tennessee,7126489
massachusetts,7001399
indiana,6862199
missouri,6196156
maryland,6180253
wisconsin,5910955
colorado,5877610
minnesota,5737915
south carolina,5373555
alabama,5108468
louisiana,4573749
kentucky,4526154
oregon,4233358
oklahoma,4053824
connecticut,3617176
utah,3417734
iowa,3207004
nevada,3194176
arkansas,3067732
kansas,2940546
mississippi,2939690
new mexico,2114371
nebraska,1978379
idaho,1964726
west virginia,1770071
hawaii,1435138
new hampshire,1402054
maine,1395722
montana,1132812
rhode island,1095962
delaware,1031890
south dakota,919318
north dakota,783926
alaska,733406
vermont,647464
wyoming,584057
